id;email;message;send_to_all_team_members;date_sent
1;Randall74@yahoo.com;grounded putter leak;false;2024-08-06T02:28:59
2;Filiberto.Conn@yahoo.com;continually generously;false;2024-08-06T01:52:36
3;Richard.Olson83@yahoo.com;honoree yum bone;true;2024-08-06T04:35:09
4;Percy33@hotmail.com;vivacious reluctantly;true;2024-08-06T17:25:26
5;Leon.Adams59@gmail.com;mileage;false;2024-08-06T14:05:54
6;Antonetta.Torphy32@hotmail.com;sociable;true;2024-08-07T00:43:34
7;Rodolfo74@hotmail.com;boohoo hike;false;2024-08-06T07:21:19
8;Bessie53@hotmail.com;carpet now station-wagon;true;2024-08-06T20:00:47
9;Grover_Jones@hotmail.com;so numb;false;2024-08-06T19:43:26
10;Rebecca_Okuneva25@hotmail.com;finally;true;2024-08-06T07:18:00
